State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
IN,100,510,397-6255,0,0,0,216.200000,107,36.750000,215.600000,84,18.330000,138.400000,127,6.230000,10.200000,3,2.750000,0,False.
FL,104,415,381-5047,0,0,0,76.400000,116,12.990000,115.600000,74,9.830000,226.300000,94,10.180000,9.400000,3,2.540000,3,False.
GA,27,510,403-6850,0,0,0,72.700000,75,12.360000,208.600000,117,17.730000,65.800000,71,2.960000,9.900000,3,2.670000,1,False.
IL,81,415,375-3658,0,1,31,210.400000,100,35.770000,225.500000,97,19.170000,168.700000,120,7.590000,9.700000,4,2.620000,0,False.
NC,64,510,341-2603,1,1,33,127.200000,93,21.620000,162.900000,104,13.850000,247.400000,109,11.130000,8.100000,13,2.190000,0,False.
VT,107,510,342-5062,0,1,28,201.800000,79,34.310000,304.900000,128,25.920000,225.600000,133,10.150000,11.900000,8,3.210000,1,False.
DC,88,415,354-1558,0,1,17,219.500000,78,37.320000,222.100000,94,18.880000,188.300000,92,8.470000,16.100000,5,4.350000,1,False.
VT,111,408,351-9537,0,0,0,99.300000,112,16.880000,270.500000,136,22.990000,225.300000,94,10.140000,9.000000,6,2.430000,3,False.
NV,77,415,401-1252,0,0,0,239.200000,114,40.660000,150.000000,115,12.750000,160.800000,81,7.240000,10.300000,2,2.780000,5,False.
OR,67,415,366-9538,1,0,0,120.900000,58,20.550000,235.000000,88,19.980000,95.100000,130,4.280000,11.400000,11,3.080000,2,False.
AL,102,408,364-7622,0,0,0,224.700000,81,38.200000,129.400000,112,11.000000,167.600000,109,7.540000,15.800000,6,4.270000,1,False.
ND,146,408,393-9918,0,1,19,176.600000,88,30.020000,162.700000,66,13.830000,215.500000,98,9.700000,14.600000,6,3.940000,1,False.
FL,144,415,376-4484,0,1,51,283.900000,98,48.260000,192.000000,109,16.320000,196.300000,85,8.830000,10.000000,4,2.700000,1,False.
NE,96,415,410-6791,0,0,0,180.600000,92,30.700000,190.900000,114,16.230000,295.600000,125,13.300000,10.300000,4,2.780000,1,True.
ND,70,415,343-2392,0,1,31,125.900000,101,21.400000,196.400000,102,16.690000,252.700000,75,11.370000,10.300000,4,2.780000,1,False.
ME,149,408,408-4323,0,0,0,237.600000,79,40.390000,192.400000,107,16.350000,207.400000,111,9.330000,9.100000,9,2.460000,0,False.
IL,129,415,395-1718,0,0,0,198.400000,91,33.730000,264.700000,106,22.500000,111.400000,101,5.010000,9.200000,2,2.480000,2,False.
WA,166,408,354-9492,0,0,0,274.300000,110,46.630000,52.900000,109,4.500000,246.100000,119,11.070000,10.900000,5,2.940000,0,False.
MA,136,408,367-8168,1,0,0,199.600000,89,33.930000,211.400000,96,17.970000,72.400000,84,3.260000,11.000000,4,2.970000,3,True.
KS,149,510,340-3500,0,0,0,217.700000,91,37.010000,273.500000,74,23.250000,226.900000,99,10.210000,9.600000,3,2.590000,3,False.
RI,70,415,369-4962,0,0,0,134.700000,96,22.900000,235.900000,90,20.050000,260.200000,113,11.710000,7.600000,6,2.050000,3,False.
MO,120,415,334-8967,0,1,24,212.700000,73,36.160000,257.500000,103,21.890000,227.800000,119,10.250000,9.700000,13,2.620000,2,False.
IA,66,510,402-2377,0,0,0,256.300000,135,43.570000,180.200000,106,15.320000,187.300000,135,8.430000,6.200000,7,1.670000,2,False.
WY,104,408,366-3917,0,0,0,183.600000,133,31.210000,120.700000,98,10.260000,215.100000,112,9.680000,12.700000,2,3.430000,1,False.
NV,160,415,333-3531,0,0,0,176.200000,90,29.950000,196.000000,115,16.660000,263.900000,95,11.880000,9.200000,4,2.480000,1,False.
WI,129,415,333-8954,0,1,37,205.000000,94,34.850000,165.400000,103,14.060000,185.000000,81,8.320000,11.700000,8,3.160000,1,False.
AL,93,408,374-9203,0,0,0,267.900000,114,45.540000,223.000000,74,18.960000,262.700000,90,11.820000,11.300000,3,3.050000,3,True.
HI,169,415,334-3289,0,0,0,179.200000,111,30.460000,175.200000,130,14.890000,228.600000,92,10.290000,9.900000,6,2.670000,2,False.
MO,58,415,353-7822,0,0,0,149.400000,145,25.400000,196.500000,105,16.700000,209.500000,108,9.430000,14.900000,3,4.020000,1,False.
CA,75,510,350-1422,0,1,38,163.600000,132,27.810000,146.700000,113,12.470000,345.800000,115,15.560000,13.100000,3,3.540000,3,False.
MO,45,408,385-8406,0,0,0,207.600000,71,35.290000,152.700000,94,12.980000,217.800000,125,9.800000,12.400000,13,3.350000,1,False.
CT,155,510,380-7277,0,0,0,165.400000,108,28.120000,183.700000,103,15.610000,80.200000,108,3.610000,8.900000,4,2.400000,3,False.
MD,52,415,352-1798,0,0,0,209.800000,114,35.670000,171.300000,82,14.560000,154.600000,119,6.960000,9.900000,9,2.670000,4,False.
OH,119,415,385-7922,0,1,27,220.100000,128,37.420000,268.200000,133,22.800000,146.500000,80,6.590000,11.100000,3,3.000000,0,False.
NV,86,510,353-7730,0,0,0,141.300000,72,24.020000,154.300000,95,13.120000,210.600000,91,9.480000,8.200000,5,2.210000,1,False.
MD,42,408,337-7163,0,0,0,196.500000,89,33.410000,241.300000,123,20.510000,143.200000,105,6.440000,4.000000,7,1.080000,0,False.
NE,127,510,348-5567,1,0,0,180.900000,114,30.750000,209.500000,118,17.810000,249.900000,105,11.250000,7.400000,4,2.000000,2,False.
OH,123,408,420-9575,0,0,0,105.000000,150,17.850000,251.600000,90,21.390000,258.000000,93,11.610000,14.900000,5,4.020000,0,False.
MA,98,510,366-3358,0,0,0,271.400000,119,46.140000,190.400000,102,16.180000,284.700000,118,12.810000,11.100000,6,3.000000,4,True.
OK,149,510,359-9972,0,1,43,206.700000,79,35.140000,174.600000,122,14.840000,241.500000,80,10.870000,10.900000,3,2.940000,1,False.
MA,160,408,387-3332,0,0,0,166.800000,109,28.360000,236.000000,117,20.060000,307.600000,77,13.840000,9.300000,1,2.510000,1,False.
WA,103,415,354-6960,0,0,0,204.900000,107,34.830000,135.200000,102,11.490000,208.200000,106,9.370000,10.400000,3,2.810000,5,False.
HI,132,415,405-3335,0,1,15,154.600000,128,26.280000,245.600000,106,20.880000,148.600000,90,6.690000,9.100000,4,2.460000,1,False.
CO,137,415,379-4257,0,0,0,127.000000,107,21.590000,323.200000,75,27.470000,143.900000,127,6.480000,7.500000,2,2.030000,1,False.
FL,129,415,355-4992,1,0,0,267.400000,78,45.460000,204.200000,85,17.360000,111.700000,146,5.030000,5.900000,4,1.590000,1,False.
WI,62,415,383-6373,0,0,0,281.000000,66,47.770000,160.600000,108,13.650000,77.900000,74,3.510000,0.000000,0,0.000000,1,False.
ID,122,510,382-7993,0,1,33,270.800000,96,46.040000,220.400000,110,18.730000,169.900000,104,7.650000,11.800000,8,3.190000,4,False.
WY,32,408,422-5865,0,0,0,171.200000,82,29.100000,185.600000,102,15.780000,203.300000,64,9.150000,10.200000,7,2.750000,1,False.
GA,86,510,410-9961,0,0,0,124.100000,82,21.100000,202.600000,120,17.220000,289.600000,119,13.030000,6.700000,8,1.810000,3,False.
FL,130,415,343-9946,0,0,0,162.800000,113,27.680000,290.300000,111,24.680000,114.900000,140,5.170000,7.200000,3,1.940000,1,False.
WY,42,408,357-7060,0,0,0,146.300000,84,24.870000,255.900000,113,21.750000,45.000000,117,2.030000,8.000000,12,2.160000,1,False.
DE,73,415,355-9541,0,0,0,254.800000,85,43.320000,143.400000,80,12.190000,153.900000,102,6.930000,15.000000,7,4.050000,2,False.
ME,66,408,378-4145,0,1,26,254.900000,108,43.330000,243.200000,135,20.670000,190.800000,95,8.590000,5.400000,3,1.460000,2,False.
DC,103,510,386-2317,0,1,31,107.700000,124,18.310000,188.900000,104,16.060000,196.200000,98,8.830000,8.900000,3,2.400000,0,False.
IA,128,408,335-8146,0,0,0,158.800000,75,27.000000,264.800000,91,22.510000,270.000000,77,12.150000,7.600000,7,2.050000,1,False.
CO,104,415,377-2235,0,0,0,182.900000,113,31.090000,239.600000,85,20.370000,229.800000,104,10.340000,5.500000,4,1.490000,2,False.
MN,103,415,386-9141,0,0,0,198.500000,112,33.750000,42.500000,90,3.610000,179.200000,124,8.060000,12.400000,5,3.350000,0,False.
VT,124,415,416-5623,0,0,0,178.400000,72,30.330000,233.600000,134,19.860000,179.400000,91,8.070000,12.000000,2,3.240000,0,False.
AZ,87,510,327-3053,0,0,0,110.900000,91,18.850000,158.500000,115,13.470000,207.500000,131,9.340000,6.200000,5,1.670000,1,False.
LA,109,415,395-6195,0,1,27,166.900000,85,28.370000,221.200000,92,18.800000,197.300000,97,8.880000,12.300000,4,3.320000,1,True.
MO,167,415,397-8772,1,0,0,244.800000,91,41.620000,60.800000,105,5.170000,176.700000,110,7.950000,10.700000,3,2.890000,2,False.
ME,97,510,346-7656,0,0,0,120.800000,96,20.540000,169.800000,101,14.430000,194.100000,63,8.730000,11.900000,3,3.210000,4,True.
MD,106,415,343-2350,0,0,0,165.300000,118,28.100000,210.000000,101,17.850000,187.200000,93,8.420000,8.500000,3,2.300000,2,False.
VT,125,415,372-4722,0,0,0,126.700000,113,21.540000,155.500000,131,13.220000,206.200000,112,9.280000,14.400000,7,3.890000,2,False.
DC,108,408,399-8615,0,1,35,215.900000,106,36.700000,200.600000,107,17.050000,195.400000,107,8.790000,15.500000,7,4.190000,0,False.
WY,125,415,379-8248,0,0,0,140.100000,132,23.820000,209.600000,126,17.820000,264.100000,77,11.880000,8.000000,2,2.160000,1,False.
VA,89,415,414-6219,0,1,32,209.900000,113,35.680000,249.800000,104,21.230000,224.200000,92,10.090000,8.700000,7,2.350000,1,False.
VA,72,510,387-1343,1,1,29,139.800000,114,23.770000,138.200000,91,11.750000,221.000000,88,9.950000,5.500000,6,1.490000,0,False.
CT,23,510,370-5527,0,0,0,321.600000,107,54.670000,251.600000,115,21.390000,141.100000,158,6.350000,11.300000,3,3.050000,2,True.
HI,149,510,393-8736,0,0,0,166.600000,61,28.320000,218.800000,107,18.600000,208.300000,131,9.370000,8.200000,6,2.210000,7,False.
WI,73,415,402-7626,0,0,0,214.200000,90,36.410000,196.800000,78,16.730000,157.900000,112,7.110000,5.900000,8,1.590000,0,False.
MD,61,415,370-2688,0,0,0,260.000000,123,44.200000,210.500000,127,17.890000,234.700000,70,10.560000,9.000000,3,2.430000,1,True.
WV,161,415,418-9036,0,0,0,191.900000,113,32.620000,70.900000,87,6.030000,204.800000,107,9.220000,13.400000,4,3.620000,4,True.
VT,73,408,417-2035,0,0,0,213.000000,95,36.210000,188.800000,104,16.050000,136.200000,89,6.130000,13.500000,3,3.650000,0,False.
UT,118,415,355-3602,0,1,24,118.100000,83,20.080000,109.600000,72,9.320000,245.500000,73,11.050000,16.900000,2,4.560000,1,False.
CO,23,408,393-4027,0,0,0,190.200000,89,32.330000,166.400000,108,14.140000,219.800000,73,9.890000,15.000000,4,4.050000,6,False.
NC,127,415,418-5141,0,1,25,82.200000,95,13.970000,163.300000,109,13.880000,264.900000,104,11.920000,5.100000,6,1.380000,0,False.
NJ,42,415,406-1247,0,1,32,163.800000,80,27.850000,177.800000,123,15.110000,190.400000,106,8.570000,8.100000,5,2.190000,0,False.
AR,118,415,402-3892,0,0,0,267.800000,145,45.530000,316.400000,121,26.890000,208.600000,91,9.390000,14.400000,11,3.890000,5,True.
IA,45,510,332-2965,0,0,0,159.800000,91,27.170000,120.400000,86,10.230000,163.000000,93,7.340000,10.600000,3,2.860000,2,False.
GA,50,408,377-1218,0,1,24,214.300000,129,36.430000,289.800000,55,24.630000,312.500000,130,14.060000,10.600000,4,2.860000,1,False.
MO,179,510,355-2464,0,0,0,287.300000,123,48.840000,288.000000,114,24.480000,266.000000,112,11.970000,10.500000,4,2.840000,0,True.
MO,152,408,404-4611,0,0,0,101.200000,122,17.200000,141.600000,87,12.040000,198.500000,124,8.930000,7.500000,3,2.030000,2,False.
WY,105,415,373-2339,0,0,0,102.800000,74,17.480000,281.700000,125,23.940000,228.100000,113,10.260000,13.200000,5,3.560000,2,False.
HI,72,415,410-3503,0,0,0,109.100000,97,18.550000,115.700000,96,9.830000,295.800000,84,13.310000,8.300000,6,2.240000,0,False.
PA,52,408,410-4739,0,0,0,215.900000,67,36.700000,217.000000,108,18.450000,342.800000,130,15.430000,5.200000,2,1.400000,1,False.
TX,125,415,365-3562,0,0,0,203.400000,110,34.580000,128.700000,97,10.940000,190.500000,113,8.570000,11.000000,4,2.970000,1,False.
VA,143,510,387-7641,0,0,0,110.100000,113,18.720000,169.000000,59,14.370000,166.700000,94,7.500000,9.200000,2,2.480000,1,False.
RI,65,415,385-9744,0,0,0,111.000000,51,18.870000,219.800000,84,18.680000,202.000000,89,9.090000,4.400000,14,1.190000,1,False.
WI,80,415,398-5006,0,0,0,239.900000,121,40.780000,142.300000,51,12.100000,364.300000,106,16.390000,9.300000,5,2.510000,1,False.
MS,1,415,408-3977,0,0,0,144.800000,107,24.620000,112.500000,66,9.560000,218.700000,79,9.840000,13.800000,3,3.730000,1,False.
KY,60,408,334-2729,0,0,0,135.400000,134,23.020000,205.900000,85,17.500000,204.000000,103,9.180000,7.900000,4,2.130000,1,False.
NC,43,415,334-7685,0,0,0,84.200000,134,14.310000,80.800000,103,6.870000,196.100000,79,8.820000,10.800000,2,2.920000,1,False.
NV,143,415,350-9228,0,0,0,209.100000,127,35.550000,106.100000,80,9.020000,179.600000,90,8.080000,14.000000,6,3.780000,0,False.
UT,81,415,407-5774,0,1,24,130.100000,117,22.120000,196.000000,61,16.660000,139.300000,123,6.270000,11.400000,5,3.080000,0,False.
ME,205,510,413-4039,0,1,24,175.800000,139,29.890000,155.000000,98,13.180000,180.700000,64,8.130000,7.800000,5,2.110000,2,False.
HI,24,415,343-2077,0,0,0,241.900000,104,41.120000,145.200000,112,12.340000,214.500000,105,9.650000,6.600000,5,1.780000,1,False.
OH,74,415,336-5661,0,0,0,136.700000,106,23.240000,228.600000,105,19.430000,265.300000,114,11.940000,9.800000,4,2.650000,0,False.
WV,77,510,355-4143,0,0,0,67.700000,68,11.510000,195.700000,86,16.630000,236.500000,137,10.640000,12.000000,2,3.240000,1,False.
OK,74,415,366-5918,0,0,0,200.400000,87,34.070000,309.200000,105,26.280000,152.100000,118,6.840000,10.000000,2,2.700000,1,False.
KY,74,510,368-7555,1,0,0,125.800000,103,21.390000,207.700000,96,17.650000,207.400000,143,9.330000,14.100000,4,3.810000,1,True.
AL,200,408,408-2119,0,0,0,128.200000,87,21.790000,133.200000,105,11.320000,177.600000,123,7.990000,11.200000,2,3.020000,1,False.
MD,86,408,329-2789,0,0,0,226.300000,88,38.470000,223.000000,107,18.960000,255.600000,92,11.500000,13.000000,3,3.510000,4,False.
NE,91,510,334-1508,0,1,37,162.300000,107,27.590000,233.900000,115,19.880000,277.400000,94,12.480000,9.200000,4,2.480000,0,False.
DC,76,415,337-1506,0,0,0,224.400000,121,38.150000,147.900000,97,12.570000,183.800000,74,8.270000,6.700000,2,1.810000,2,False.
TX,130,415,396-8400,0,0,0,120.500000,127,20.490000,189.700000,52,16.120000,270.100000,107,12.150000,14.300000,2,3.860000,1,False.
OH,56,408,349-2654,0,0,0,91.100000,90,15.490000,179.300000,115,15.240000,300.700000,89,13.530000,11.900000,8,3.210000,2,False.
DE,117,415,417-2716,0,0,0,168.800000,137,28.700000,241.400000,107,20.520000,204.800000,106,9.220000,15.500000,4,4.190000,0,False.
IA,63,510,402-1725,0,0,0,153.500000,81,26.100000,287.300000,115,24.420000,230.200000,85,10.360000,6.500000,5,1.760000,2,False.
VT,126,415,403-3229,0,0,0,226.200000,88,38.450000,140.300000,114,11.930000,208.900000,110,9.400000,6.400000,2,1.730000,0,False.
OR,132,510,353-6056,0,0,0,191.900000,107,32.620000,206.900000,127,17.590000,272.000000,88,12.240000,12.600000,2,3.400000,1,False.
NV,81,415,399-9802,0,1,28,167.900000,147,28.540000,190.700000,105,16.210000,193.000000,103,8.690000,9.200000,6,2.480000,4,True.
NC,122,415,366-7069,0,0,0,180.000000,88,30.600000,145.000000,77,12.330000,233.700000,120,10.520000,11.500000,6,3.110000,2,False.
NJ,46,408,332-5949,0,0,0,257.400000,67,43.760000,261.100000,91,22.190000,204.400000,107,9.200000,13.400000,5,3.620000,2,True.
MN,150,415,393-6376,0,1,28,174.400000,75,29.650000,169.900000,80,14.440000,201.600000,130,9.070000,11.000000,4,2.970000,1,False.
ID,99,408,354-7025,0,0,0,159.700000,83,27.150000,155.400000,121,13.210000,255.700000,114,11.510000,8.400000,3,2.270000,1,False.
AL,87,408,351-6585,0,0,0,237.200000,124,40.320000,222.600000,87,18.920000,173.300000,81,7.800000,11.000000,3,2.970000,1,False.
AK,108,415,330-5462,0,0,0,103.000000,129,17.510000,242.300000,103,20.600000,170.200000,89,7.660000,7.900000,3,2.130000,1,False.
VT,101,415,407-2292,0,0,0,153.800000,89,26.150000,234.000000,89,19.890000,196.300000,77,8.830000,11.600000,2,3.130000,4,False.
PA,53,415,340-3011,0,0,0,205.100000,86,34.870000,160.500000,95,13.640000,149.500000,142,6.730000,10.700000,2,2.890000,3,False.
AK,132,415,345-9153,0,1,39,175.700000,93,29.870000,187.200000,94,15.910000,225.500000,118,10.150000,8.600000,3,2.320000,2,False.
CA,158,510,379-5503,0,0,0,155.900000,123,26.500000,224.200000,112,19.060000,221.000000,116,9.950000,8.600000,8,2.320000,2,False.
MS,114,415,389-6790,0,1,34,154.400000,109,26.250000,221.400000,142,18.820000,208.500000,103,9.380000,10.300000,5,2.780000,0,False.
AR,77,415,408-3610,0,1,23,209.700000,73,35.650000,183.600000,63,15.610000,205.500000,111,9.250000,7.100000,3,1.920000,2,False.
NV,144,415,375-8238,1,0,0,150.000000,69,25.500000,285.900000,73,24.300000,190.600000,121,8.580000,9.400000,15,2.540000,0,False.
AL,91,510,378-5633,0,1,23,232.400000,97,39.510000,186.000000,88,15.810000,190.500000,128,8.570000,12.300000,3,3.320000,3,False.
GA,58,408,389-9120,0,0,0,165.400000,100,28.120000,115.700000,87,9.830000,193.800000,118,8.720000,12.800000,5,3.460000,2,False.
AR,5,415,380-2758,0,0,0,199.200000,106,33.860000,187.300000,12,15.920000,214.000000,85,9.630000,13.300000,3,3.590000,3,False.
MA,97,408,402-2728,0,0,0,217.600000,81,36.990000,320.500000,51,27.240000,150.700000,110,6.780000,4.200000,3,1.130000,0,False.
NJ,107,415,354-9062,0,0,0,212.100000,95,36.060000,150.100000,88,12.760000,219.800000,111,9.890000,7.700000,2,2.080000,3,False.
MO,142,415,417-2054,0,1,30,154.000000,75,26.180000,165.800000,97,14.090000,270.000000,83,12.150000,10.800000,5,2.920000,1,False.
NY,9,408,353-1941,0,1,31,193.800000,130,32.950000,202.600000,98,17.220000,191.200000,102,8.600000,13.300000,2,3.590000,1,False.
AZ,73,415,328-1522,0,0,0,175.400000,130,29.820000,248.100000,105,21.090000,122.400000,85,5.510000,12.200000,4,3.290000,0,False.
NJ,48,510,408-4529,0,1,22,152.000000,63,25.840000,258.800000,131,22.000000,263.200000,109,11.840000,15.700000,5,4.240000,2,True.
WV,43,408,417-5320,0,0,0,230.200000,147,39.130000,186.700000,121,15.870000,128.400000,100,5.780000,9.200000,3,2.480000,0,False.
NM,122,408,370-9755,0,1,33,174.900000,103,29.730000,248.200000,105,21.100000,164.600000,116,7.410000,13.500000,3,3.650000,1,True.
SC,93,415,372-4835,0,0,0,190.200000,68,32.330000,262.200000,64,22.290000,130.000000,92,5.850000,8.800000,4,2.380000,0,False.
VT,85,415,334-6605,0,0,0,176.400000,122,29.990000,224.900000,123,19.120000,219.600000,50,9.880000,11.500000,1,3.110000,1,False.
TN,59,415,399-5564,0,0,0,160.900000,95,27.350000,251.200000,65,21.350000,273.400000,97,12.300000,5.000000,5,1.350000,3,False.
LA,87,415,392-2887,0,0,0,228.700000,90,38.880000,163.000000,99,13.860000,154.100000,90,6.930000,11.800000,3,3.190000,1,False.
OH,137,408,328-2110,0,0,0,144.000000,90,24.480000,181.600000,100,15.440000,128.100000,93,5.760000,12.300000,2,3.320000,0,False.
OR,21,510,383-5976,0,1,31,135.900000,90,23.100000,271.000000,84,23.040000,179.100000,89,8.060000,9.500000,7,2.570000,6,False.
DE,129,510,332-6181,0,0,0,334.300000,118,56.830000,192.100000,104,16.330000,191.000000,83,8.590000,10.400000,6,2.810000,0,True.
KY,104,415,330-5255,0,0,0,130.500000,77,22.190000,131.200000,117,11.150000,264.700000,63,11.910000,13.000000,6,3.510000,0,False.
GA,93,408,413-5190,0,1,21,134.200000,105,22.810000,162.500000,128,13.810000,186.600000,90,8.400000,11.800000,2,3.190000,4,True.
VT,63,415,394-7447,0,0,0,278.000000,102,47.260000,266.400000,114,22.640000,224.100000,118,10.080000,13.100000,4,3.540000,4,True.
OR,161,415,353-7096,0,0,0,105.400000,70,17.920000,214.800000,122,18.260000,223.600000,126,10.060000,7.800000,5,2.110000,0,False.
TX,50,510,395-6002,0,0,0,188.900000,94,32.110000,203.900000,104,17.330000,151.800000,124,6.830000,11.600000,8,3.130000,3,False.
MO,103,408,372-9816,0,1,24,111.800000,85,19.010000,239.600000,102,20.370000,268.300000,81,12.070000,6.900000,4,1.860000,1,False.
ND,84,415,400-7253,0,1,33,159.100000,106,27.050000,149.800000,101,12.730000,213.400000,108,9.600000,13.000000,18,3.510000,1,False.
MN,92,510,344-7470,0,0,0,212.400000,105,36.110000,224.600000,118,19.090000,221.300000,105,9.960000,9.000000,4,2.430000,1,False.
NV,77,415,378-8572,0,0,0,142.300000,112,24.190000,306.300000,111,26.040000,196.500000,82,8.840000,9.900000,1,2.670000,1,False.
NY,64,415,345-9140,1,0,0,346.800000,55,58.960000,249.500000,79,21.210000,275.400000,102,12.390000,13.300000,9,3.590000,1,True.
FL,159,415,340-5460,0,1,15,113.900000,102,19.360000,145.300000,146,12.350000,195.200000,137,8.780000,11.800000,9,3.190000,1,False.
KS,110,415,369-8024,1,1,27,267.900000,103,45.540000,263.300000,74,22.380000,178.100000,106,8.010000,8.300000,2,2.240000,1,True.
NV,138,510,395-8595,0,0,0,171.400000,117,29.140000,115.200000,128,9.790000,224.500000,115,10.100000,17.000000,4,4.590000,3,False.
NV,178,408,359-4587,0,0,0,275.400000,150,46.820000,187.500000,62,15.940000,147.100000,126,6.620000,13.600000,3,3.670000,1,False.
SC,38,415,375-5439,0,1,31,197.200000,118,33.520000,249.900000,70,21.240000,298.900000,104,13.450000,3.900000,2,1.050000,0,False.
MI,50,415,361-3779,0,1,35,192.600000,97,32.740000,135.200000,101,11.490000,216.200000,101,9.730000,7.900000,2,2.130000,2,False.
MI,45,510,375-8934,0,1,26,91.700000,104,15.590000,150.600000,119,12.800000,63.300000,103,2.850000,7.700000,5,2.080000,1,False.
TN,70,510,395-4757,0,0,0,126.300000,99,21.470000,141.600000,106,12.040000,255.900000,96,11.520000,9.600000,2,2.590000,0,False.
NY,147,510,421-7205,0,1,33,251.500000,107,42.760000,234.100000,110,19.900000,213.400000,87,9.600000,10.400000,6,2.810000,3,False.
NV,94,510,379-8805,0,0,0,190.600000,108,32.400000,152.300000,95,12.950000,144.700000,97,6.510000,7.500000,5,2.030000,1,False.
IL,179,510,348-2150,0,0,0,116.100000,101,19.740000,201.800000,99,17.150000,181.900000,103,8.190000,11.600000,5,3.130000,0,False.
MS,116,415,417-9128,0,0,0,217.300000,91,36.940000,216.100000,95,18.370000,148.100000,76,6.660000,11.300000,3,3.050000,2,False.
ND,59,510,351-4226,0,0,0,179.400000,80,30.500000,232.500000,99,19.760000,175.800000,105,7.910000,14.700000,3,3.970000,0,False.
NC,165,415,330-6630,0,0,0,207.700000,109,35.310000,164.800000,94,14.010000,54.500000,91,2.450000,7.900000,3,2.130000,0,False.
MI,133,408,387-9137,0,0,0,277.300000,138,47.140000,228.400000,117,19.410000,117.300000,103,5.280000,12.800000,4,3.460000,2,True.
TN,140,415,372-3987,0,0,0,125.300000,84,21.300000,167.600000,121,14.250000,260.600000,94,11.730000,8.400000,4,2.270000,1,False.
VT,93,408,408-5183,0,1,32,138.100000,91,23.480000,167.300000,72,14.220000,238.900000,115,10.750000,6.800000,3,1.840000,2,False.
OK,52,510,412-9357,0,1,38,169.300000,88,28.780000,225.900000,97,19.200000,172.000000,86,7.740000,8.200000,3,2.210000,0,False.
DE,64,415,402-3599,0,1,27,201.300000,101,34.220000,143.800000,89,12.220000,150.200000,127,6.760000,12.300000,3,3.320000,1,False.
ND,12,510,379-5211,1,0,0,216.700000,117,36.840000,116.500000,126,9.900000,220.000000,110,9.900000,9.800000,4,2.650000,2,False.
OR,48,415,405-9217,0,0,0,190.400000,92,32.370000,317.500000,85,26.990000,133.400000,113,6.000000,8.300000,4,2.240000,2,False.
NY,181,408,340-9200,0,0,0,143.300000,91,24.360000,195.500000,58,16.620000,223.300000,95,10.050000,6.000000,7,1.620000,1,False.
MO,168,415,339-9026,0,1,42,97.400000,57,16.560000,203.600000,98,17.310000,173.900000,124,7.830000,11.400000,2,3.080000,2,False.
FL,155,415,343-4772,0,0,0,181.400000,111,30.840000,167.700000,92,14.250000,168.500000,122,7.580000,11.300000,3,3.050000,3,False.
ND,105,510,345-2108,0,0,0,246.400000,83,41.890000,256.200000,101,21.780000,169.000000,151,7.610000,3.800000,4,1.030000,0,False.
NY,11,415,401-4650,0,0,0,143.400000,130,24.380000,289.400000,50,24.600000,194.000000,100,8.730000,9.700000,6,2.620000,2,False.
ND,182,415,400-3945,0,0,0,104.900000,111,17.830000,198.500000,120,16.870000,258.200000,91,11.620000,8.000000,5,2.160000,2,False.
NY,104,415,338-3781,0,0,0,156.200000,93,26.550000,193.000000,54,16.410000,222.700000,94,10.020000,13.100000,5,3.540000,1,False.
OH,102,415,342-6316,0,0,0,114.800000,125,19.520000,81.900000,126,6.960000,304.300000,101,13.690000,12.000000,4,3.240000,0,False.
AL,122,415,336-5920,0,0,0,232.500000,96,39.530000,205.500000,120,17.470000,213.700000,91,9.620000,11.900000,2,3.210000,0,False.
SC,41,415,332-1060,0,0,0,143.600000,117,24.410000,152.400000,108,12.950000,194.400000,110,8.750000,8.600000,3,2.320000,1,False.
GA,132,415,418-3426,0,0,0,176.700000,132,30.040000,244.100000,80,20.750000,176.300000,120,7.930000,9.100000,4,2.460000,2,False.
WY,76,415,408-6326,0,0,0,263.400000,148,44.780000,230.300000,69,19.580000,170.600000,101,7.680000,11.400000,5,3.080000,1,True.
WV,13,415,334-6142,0,0,0,146.400000,74,24.890000,148.500000,92,12.620000,216.700000,96,9.750000,11.300000,3,3.050000,1,False.
HI,115,415,336-6128,0,1,33,145.000000,72,24.650000,194.500000,157,16.530000,242.300000,138,10.900000,14.200000,3,3.830000,2,False.
WV,67,408,406-6708,0,0,0,167.800000,91,28.530000,167.700000,69,14.250000,110.300000,71,4.960000,8.400000,12,2.270000,1,False.
LA,154,510,388-8670,0,0,0,166.900000,99,28.370000,154.900000,97,13.170000,189.400000,89,8.520000,7.200000,5,1.940000,0,False.
AR,100,510,363-5853,0,0,0,142.500000,87,24.230000,195.700000,88,16.630000,122.100000,117,5.490000,7.800000,8,2.110000,2,False.
AK,146,510,383-6544,1,0,0,133.000000,65,22.610000,262.800000,93,22.340000,214.300000,128,9.640000,11.200000,3,3.020000,1,False.
DC,148,415,378-2940,0,1,11,252.900000,129,42.990000,284.300000,88,24.170000,262.800000,99,11.830000,12.300000,1,3.320000,1,False.
AL,67,415,338-7683,0,1,28,95.000000,94,16.150000,291.200000,73,24.750000,159.600000,114,7.180000,10.000000,2,2.700000,2,False.
UT,161,510,329-2786,1,0,0,194.200000,106,33.010000,249.400000,105,21.200000,254.900000,129,11.470000,12.900000,1,3.480000,1,True.
